Name;Sport;Date;Start time;Duration;Total distance (km);Average heart rate (bpm);Average speed (km/h);Max speed (km/h);Average pace (min/km);Max pace (min/km);Calories;Fat percentage of calories(%);Average cadence (rpm);Average stride length (cm);Running index;Training load;Ascent (m);Descent (m);Average power (W);Max power (W);Notes;Height (cm);Weight (kg);HR max;HR sit;VO2max
Hiit Dt2a;RUNNING;01/11/2021;09:33:18;00:30:58;;118;0.0;;00:00;;287;32;;;;;;;;;;180.0;120.0;193;;37
Sample rate;Time;HR (bpm);Speed (km/h);Pace (min/km);Cadence;Altitude (m);Stride length (m);Distances (m);Temperatures (C);Power (W);;;;;;;;;;;;;;;;
0;00:00:00;93;;;;;;;;;;;;;;;;;;;;;;;;
1;00:00:01;94;;;;;;;;;;;;;;;;;;;;;;;;
2;00:00:02;95;;;;;;;;;;;;;;;;;;;;;;;;
3;00:00:03;96;;;;;;;;;;;;;;;;;;;;;;;;
4;00:00:04;96;;;;;;;;;;;;;;;;;;;;;;;;
5;00:00:05;96;;;;;;;;;;;;;;;;;;;;;;;;
6;00:00:06;97;;;;;;;;;;;;;;;;;;;;;;;;
7;00:00:07;97;;;;;;;;;;;;;;;;;;;;;;;;
8;00:00:08;98;;;;;;;;;;;;;;;;;;;;;;;;
9;00:00:09;98;;;;;;;;;;;;;;;;;;;;;;;;
10;00:00:10;98;;;;;;;;;;;;;;;;;;;;;;;;
11;00:00:11;99;;;;;;;;;;;;;;;;;;;;;;;;
12;00:00:12;99;;;;;;;;;;;;;;;;;;;;;;;;
13;00:00:13;99;;;;;;;;;;;;;;;;;;;;;;;;
14;00:00:14;98;;;;;;;;;;;;;;;;;;;;;;;;
15;00:00:15;96;;;;;;;;;;;;;;;;;;;;;;;;
16;00:00:16;95;;;;;;;;;;;;;;;;;;;;;;;;
17;00:00:17;94;;;;;;;;;;;;;;;;;;;;;;;;
18;00:00:18;94;;;;;;;;;;;;;;;;;;;;;;;;
19;00:00:19;94;;;;;;;;;;;;;;;;;;;;;;;;
20;00:00:20;94;;;;;;;;;;;;;;;;;;;;;;;;
21;00:00:21;94;;;;;;;;;;;;;;;;;;;;;;;;
22;00:00:22;94;;;;;;;;;;;;;;;;;;;;;;;;
23;00:00:23;95;;;;;;;;;;;;;;;;;;;;;;;;
24;00:00:24;95;;;;;;;;;;;;;;;;;;;;;;;;
25;00:00:25;94;;;;;;;;;;;;;;;;;;;;;;;;
26;00:00:26;94;;;;;;;;;;;;;;;;;;;;;;;;
27;00:00:27;94;;;;;;;;;;;;;;;;;;;;;;;;
28;00:00:28;93;;;;;;;;;;;;;;;;;;;;;;;;
29;00:00:29;93;;;;;;;;;;;;;;;;;;;;;;;;
30;00:00:30;93;;;;;;;;;;;;;;;;;;;;;;;;
31;00:00:31;93;;;;;;;;;;;;;;;;;;;;;;;;
32;00:00:32;93;;;;;;;;;;;;;;;;;;;;;;;;
33;00:00:33;94;;;;;;;;;;;;;;;;;;;;;;;;
34;00:00:34;94;;;;;;;;;;;;;;;;;;;;;;;;
35;00:00:35;94;;;;;;;;;;;;;;;;;;;;;;;;
36;00:00:36;94;;;;;;;;;;;;;;;;;;;;;;;;
37;00:00:37;94;;;;;;;;;;;;;;;;;;;;;;;;
38;00:00:38;94;;;;;;;;;;;;;;;;;;;;;;;;
39;00:00:39;94;;;;;;;;;;;;;;;;;;;;;;;;
40;00:00:40;94;;;;;;;;;;;;;;;;;;;;;;;;
41;00:00:41;93;;;;;;;;;;;;;;;;;;;;;;;;
42;00:00:42;93;;;;;;;;;;;;;;;;;;;;;;;;
43;00:00:43;93;;;;;;;;;;;;;;;;;;;;;;;;
44;00:00:44;93;;;;;;;;;;;;;;;;;;;;;;;;
45;00:00:45;94;;;;;;;;;;;;;;;;;;;;;;;;
46;00:00:46;94;;;;;;;;;;;;;;;;;;;;;;;;
47;00:00:47;94;;;;;;;;;;;;;;;;;;;;;;;;
48;00:00:48;96;;;;;;;;;;;;;;;;;;;;;;;;
49;00:00:49;98;;;;;;;;;;;;;;;;;;;;;;;;
50;00:00:50;98;;;;;;;;;;;;;;;;;;;;;;;;
51;00:00:51;98;;;;;;;;;;;;;;;;;;;;;;;;
52;00:00:52;98;;;;;;;;;;;;;;;;;;;;;;;;
53;00:00:53;98;;;;;;;;;;;;;;;;;;;;;;;;
54;00:00:54;97;;;;;;;;;;;;;;;;;;;;;;;;
55;00:00:55;97;;;;;;;;;;;;;;;;;;;;;;;;
56;00:00:56;97;;;;;;;;;;;;;;;;;;;;;;;;
57;00:00:57;97;;;;;;;;;;;;;;;;;;;;;;;;
58;00:00:58;97;;;;;;;;;;;;;;;;;;;;;;;;
59;00:00:59;97;;;;;;;;;;;;;;;;;;;;;;;;
60;00:01:00;97;;;;;;;;;;;;;;;;;;;;;;;;
61;00:01:01;97;;;;;;;;;;;;;;;;;;;;;;;;
62;00:01:02;97;;;;;;;;;;;;;;;;;;;;;;;;
63;00:01:03;97;;;;;;;;;;;;;;;;;;;;;;;;
64;00:01:04;98;;;;;;;;;;;;;;;;;;;;;;;;
65;00:01:05;98;;;;;;;;;;;;;;;;;;;;;;;;
66;00:01:06;97;;;;;;;;;;;;;;;;;;;;;;;;
67;00:01:07;97;;;;;;;;;;;;;;;;;;;;;;;;
68;00:01:08;97;;;;;;;;;;;;;;;;;;;;;;;;
69;00:01:09;97;;;;;;;;;;;;;;;;;;;;;;;;
70;00:01:10;97;;;;;;;;;;;;;;;;;;;;;;;;
71;00:01:11;97;;;;;;;;;;;;;;;;;;;;;;;;
72;00:01:12;97;;;;;;;;;;;;;;;;;;;;;;;;
73;00:01:13;97;;;;;;;;;;;;;;;;;;;;;;;;
74;00:01:14;97;;;;;;;;;;;;;;;;;;;;;;;;
75;00:01:15;97;;;;;;;;;;;;;;;;;;;;;;;;
76;00:01:16;96;;;;;;;;;;;;;;;;;;;;;;;;
77;00:01:17;96;;;;;;;;;;;;;;;;;;;;;;;;
78;00:01:18;95;;;;;;;;;;;;;;;;;;;;;;;;
79;00:01:19;95;;;;;;;;;;;;;;;;;;;;;;;;
80;00:01:20;94;;;;;;;;;;;;;;;;;;;;;;;;
81;00:01:21;94;;;;;;;;;;;;;;;;;;;;;;;;
82;00:01:22;94;;;;;;;;;;;;;;;;;;;;;;;;
