Name;Sport;Date;Start time;Duration;Total distance (km);Average heart rate (bpm);Average speed (km/h);Max speed (km/h);Average pace (min/km);Max pace (min/km);Calories;Fat percentage of calories(%);Average cadence (rpm);Average stride length (cm);Running index;Training load;Ascent (m);Descent (m);Average power (W);Max power (W);Notes;Height (cm);Weight (kg);HR max;HR sit;VO2max
Hiit Dt2a;JOGGING;07/10/2021;09:23:29;00:38:05;;117;0.0;;00:00;;349;34;;;;;;;;;;180.0;120.0;193;;37
Sample rate;Time;HR (bpm);Speed (km/h);Pace (min/km);Cadence;Altitude (m);Stride length (m);Distances (m);Temperatures (C);Power (W);;;;;;;;;;;;;;;;
66;00:01:06;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
67;00:01:07;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
68;00:01:08;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
69;00:01:09;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
70;00:01:10;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
71;00:01:11;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
72;00:01:12;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
73;00:01:13;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
74;00:01:14;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
75;00:01:15;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
76;00:01:16;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
77;00:01:17;103;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
78;00:01:18;103;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
79;00:01:19;104;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
80;00:01:20;104;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
81;00:01:21;104;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
82;00:01:22;104;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
83;00:01:23;104;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
84;00:01:24;103;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
85;00:01:25;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
86;00:01:26;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
87;00:01:27;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
88;00:01:28;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
89;00:01:29;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
90;00:01:30;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
91;00:01:31;103;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
92;00:01:32;104;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
93;00:01:33;104;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
94;00:01:34;104;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
95;00:01:35;103;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
96;00:01:36;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
97;00:01:37;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
98;00:01:38;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
99;00:01:39;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
100;00:01:40;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
101;00:01:41;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
102;00:01:42;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
103;00:01:43;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
104;00:01:44;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
105;00:01:45;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
106;00:01:46;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
107;00:01:47;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
108;00:01:48;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
109;00:01:49;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
110;00:01:50;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
111;00:01:51;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
112;00:01:52;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
113;00:01:53;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
114;00:01:54;103;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
115;00:01:55;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
116;00:01:56;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
117;00:01:57;103;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
118;00:01:58;103;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
119;00:01:59;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
120;00:02:00;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
121;00:02:01;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
122;00:02:02;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
123;00:02:03;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
124;00:02:04;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
125;00:02:05;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
126;00:02:06;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
127;00:02:07;103;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
128;00:02:08;103;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
129;00:02:09;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
130;00:02:10;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
131;00:02:11;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
132;00:02:12;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
133;00:02:13;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
134;00:02:14;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
135;00:02:15;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
136;00:02:16;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
137;00:02:17;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
138;00:02:18;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
139;00:02:19;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
140;00:02:20;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
141;00:02:21;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
142;00:02:22;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
143;00:02:23;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
144;00:02:24;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
145;00:02:25;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
146;00:02:26;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
147;00:02:27;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
148;00:02:28;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
149;00:02:29;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
150;00:02:30;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
151;00:02:31;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
152;00:02:32;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
153;00:02:33;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
154;00:02:34;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
155;00:02:35;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
156;00:02:36;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
157;00:02:37;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
158;00:02:38;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
159;00:02:39;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
160;00:02:40;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
161;00:02:41;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
162;00:02:42;103;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
163;00:02:43;103;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
164;00:02:44;103;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
165;00:02:45;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
166;00:02:46;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
167;00:02:47;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
168;00:02:48;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
169;00:02:49;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
170;00:02:50;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
171;00:02:51;98;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
172;00:02:52;98;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
173;00:02:53;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
174;00:02:54;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
175;00:02:55;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
176;00:02:56;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
177;00:02:57;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
178;00:02:58;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
179;00:02:59;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
180;00:03:00;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
181;00:03:01;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
182;00:03:02;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
183;00:03:03;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
184;00:03:04;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
185;00:03:05;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
186;00:03:06;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
187;00:03:07;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
188;00:03:08;102;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
189;00:03:09;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
190;00:03:10;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
191;00:03:11;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
192;00:03:12;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
193;00:03:13;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
194;00:03:14;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
195;00:03:15;98;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
196;00:03:16;98;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
197;00:03:17;98;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
198;00:03:18;98;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
199;00:03:19;97;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
200;00:03:20;97;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
201;00:03:21;99;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
202;00:03:22;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
203;00:03:23;101;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
204;00:03:24;100;0.0;00:00;;;;0.00;;;;;;;;;;;;;;;;;;
